Gesture R,"[-0.2777274, -0.06703765, -2.8443117, 3.074155, 1.982399, 5.3438582, -2.633622, -11.84651, 13.206416, 2.087744, -0.50757074]","[9.864111, 9.758766, 1.9919758, 18.741812, 14.700398, 2.4037786, 2.585738, 13.168109, 7.249643, 7.0102224, 11.779472]","[-0.81402856, -0.7565677, 1.436521, 0.94810385, 0.019153614, -2.7868507, -0.8331822, 8.561666, -3.1986535, 0.89064306, 3.4476504]",,,,,,
Gesture R,"[0.6895301, 0.39264908, 5.9759274, 5.6886234, 7.0006456, -25.407269, 21.346703, 2.8443117, 8.896853, 9.720459]","[9.385271, 0.4213795, 30.463823, 4.5777135, -3.7541082, 5.9759274, 7.153875, 8.513782, 6.3685765, 9.940725]","[-0.641646, -1.5897499, 15.887922, 1.685518, -6.540959, 18.167202, -5.9280434, 2.2697031, 8.552089, 3.9073372]",,,,,,
Gesture R,"[1.934515, 1.1204864, 7.517793, 6.38773, 6.3111157, -21.241358, 13.599066, 6.8091097, 5.056554]","[8.599973, -1.2162545, 28.88365, 5.93762, -8.00621, 12.737153, 7.1826053, 3.5625722, 15.514427]","[-1.8866309, 0.9959879, 4.2425256, 4.8937483, -3.4572272, 14.709975, -1.1109096, 3.3423057, 4.8362875]",,,,,,
Gesture R,"[0.92895025, -0.24899697, 8.054094, 8.331821, 8.523358, -15.303738, 17.496826, 4.8458643, 7.9870567]","[9.548077, -1.2258313, 18.50239, 9.892841, -5.8801594, 7.97748, 7.086837, 1.3024458, 13.464991]","[1.1971009, 1.733402, 4.2999864, 9.576807, -9.442732, 14.12579, -5.717354, 1.2162545, 7.0581064]",,,,,,
Gesture R,"[1.6759412, 4.003105, 15.562311, 7.6614456, 2.719813, -15.7825775, 13.359646, 7.929596, 9.346964]","[5.5641246, 3.2273839, 26.623524, 2.528277, -5.2002063, 8.686164, 7.642292, -6.9623384, 10.582372]","[-0.41180268, 3.016694, 15.792154, 5.0374002, -4.903325, 16.79772, -6.8761473, 4.2904096, 7.8050976]",,,,,,
Gesture R,"[0.9768343, -1.1300632, 15.610195, 7.632715, 8.676587, -16.347609, 15.485697, 3.6487634, 4.9799395]","[7.7667904, -0.61291564, 27.571627, 8.858546, -4.3287168, 0.1340753, 15.198392, -1.7238252, 13.972561]","[-2.1068976, 1.1683705, 8.475474, 9.624691, -5.439626, 3.4763808, -0.6607997, -0.5746084, 2.9783869]",,,,,,
Gesture R,"[1.484405, -1.5035586, 2.2505496, 0.7565677, 1.8674773, 3.9935284, 7.7093296, 9.844957, 12.229582, 14.106636, 10.409989, 9.11712, 13.417107, 14.642938, 15.456966, 14.317327, 11.798626, 9.902418, 8.169016, 8.360553, 8.734048, 8.743625, 7.967903, 7.0006456, 6.339846, 5.9184666, 6.081272, 6.646304, 7.144298, 6.588843, 4.721366, 3.371036, 1.484405, -0.7757214, -3.3806129, -4.31914, -5.21936, -8.408437, -11.9135475, -14.499286, -15.68681, -13.627796, -11.310209, -9.500193, -5.133168, 0.6991069, 6.1387334, 10.1226845, 11.109096, 13.627796, 15.964537, 15.44739, 13.733141, 12.593501, 11.951855, 11.769896, 11.702858, 11.032481, 7.8625584, 5.363012, 5.363012, 7.52737, 7.5082164, 5.6120086, 3.1316159, 2.432509, 5.0757074, 7.192182, 6.646304, 5.506664, 6.1195793, 6.4643445, 5.765238, 5.755661, 5.142745, 5.4300494, 5.9663506, 6.5026517, 5.985504]","[7.9104424, -1.5610195, 2.432509, 3.2944214, 4.2521024, 8.025364, 12.258312, 15.342045, 19.785683, 26.384102, 28.653807, 30.10948, 31.584309, 30.339323, 27.61951, 24.085669, 19.900604, 16.175226, 12.449849, 9.586384, 7.469909, 5.3821654, 2.9783869, 0.47884035, -2.135628, -4.060566, -4.912902, -4.999093, -4.9703627, -5.142745, -5.209783, -4.6160207, -4.213795, -3.7445314, -3.2273839, -2.3463178, -0.8714894, 0.48841715, 1.8770541, 4.146757, 7.52737, 10.6398325, 13.627796, 16.031574, 17.33402, 17.468096, 17.621325, 16.82645, 14.949395, 12.794614, 10.333375, 7.5944076, 3.9743748, 0.9864111, -1.0630256, -2.681506, -3.7445314, -4.2999864, -4.1276035, -3.2082303, -1.7238252, 3.122039, 9.739613, 15.08347, 18.05228, 19.153614, 19.34515, 18.540697, 16.85518, 15.179238, 14.077906, 13.244724, 12.287044, 11.87524, 11.798626, 12.11466, 12.488156, 12.957419, 12.832921]","[-2.633622, 2.0973208, -0.82360536, -0.7469909, 0.8714894, 2.5187001, 1.5131354, -0.9864111, 0.7278373, 5.267244, 12.842498, 19.689915, 18.215086, 12.133814, 7.967903, 5.659893, 6.483498, 8.379706, 10.448297, 10.208876, 8.207323, 6.8665705, 5.439626, 3.2465374, 2.0111294, -0.9959879, -3.9360676, -6.7229185, -8.475474, -8.159439, -6.4260373, -4.405331, -3.7062242, -3.3518825, -2.9592333, -3.4093432, -1.4652514, 2.9496565, 6.751649, 10.103531, 12.928689, 14.4130945, 17.113754, 18.119318, 17.506403, 15.20797, 11.070788, 7.4603324, 3.3901896, 0.89064306, -3.9839516, -8.561666, -6.8186865, -6.081272, -8.446744, -10.745177, -11.18571, -8.063671, -3.9552212, 0.29688102, 4.309563, 8.236053, 8.561666, 15.380352, 22.744917, 21.68189, 16.816874, 13.263878, 8.858546, 5.793968, 5.046977, 4.462792, 4.673482, 5.9280434, 6.8761473, 7.4124484, 7.52737, 7.335834, 7.967903]",,,,,,
Gesture R,"[1.685518, 1.9440918, 1.8100165, 0.9864111, 1.1109096, 0.6991069, 0.51714754, 0.019153614, -0.45010993, -1.0055647, -1.1683705, -0.5554548, -0.80445176, 0.25857377, 2.528277, -1.2258313, -1.0342951, 4.3478703, 7.5944076, 10.0748005, 12.765883, 12.181698, 11.013328, 9.548077, 8.159439, 7.8625584, 8.963891, 10.793061, 11.377247, 9.059659, 5.544971, 2.4229321, 2.2122424, 3.821146, 4.9224787, 4.3478703, 3.2944214, 3.1316159, 3.7924154, 4.175488, 4.261679, 3.9073372, 4.5777135, 6.14831, 7.0581064, 7.3166804, 8.714894, 9.394848, 8.456321, 6.4643445, 3.8977604, 1.9249382, 2.7485435, 1.4460979, -2.0590134, -0.5554548, 18.540697, 0.90979666, 1.2258313]","[6.14831, 5.5641246, 4.9703627, 4.4915223, 4.2425256, 3.7062242, 2.8921957, 1.982399, 1.3311762, 0.842759, 0.17238252, 0.02873042, 0.36391866, 0.7661445, 2.4420857, 3.5242648, 3.916914, 6.6175733, 12.191275, 16.098612, 18.416199, 22.055386, 25.771187, 26.709715, 27.485435, 27.246016, 25.22531, 22.42888, 20.168755, 17.985243, 15.907076, 13.570335, 11.81778, 11.18571, 10.036493, 8.37013, 6.4164605, 5.00867, 4.2999864, 3.6966474, 3.3135753, 2.5474305, 2.3175871, 1.685518, 0.7661445, -0.047884032, -0.16280572, -0.40222588, -1.0534488, -1.8195933, -2.2984335, -2.1930888, -1.8483237, -2.087744, -2.0685902, 14.250289, 2.4899697, 18.387468, 9.021352]","[-1.0630256, -0.9768343, -1.6472107, -2.681506, -2.5474305, -2.0398598, -0.7469909, -0.2873042, 0.46926352, 0.62249243, 1.283292, 2.432509, 2.7485435, 2.6144683, -0.15322891, -0.12449849, 4.2425256, 3.5625722, 0.50757074, -1.934515, -0.37349546, 5.506664, 12.593501, 15.552734, 17.06587, 16.539145, 12.804191, 8.590396, 4.8745947, 3.964798, 6.033388, 7.8625584, 9.011775, 7.374141, 4.855441, 2.6719291, 2.183512, 2.5091233, 1.4269443, -0.36391866, -0.047884032, 0.4405331, -0.40222588, -1.8100165, -3.4955344, -5.602432, -6.885724, -7.5561004, -6.4068837, -4.2521024, -3.5434184, -4.7309427, -6.588843, -5.602432, -2.135628, 14.202404, -8.264784, 15.974113, 7.489063]",,,,,,
Gesture R,"[-1.685518, 3.169923, 13.359646, 7.0964136, -0.15322891, -3.0933087, 9.902418, 8.293514, 4.7884035]","[3.0262709, 6.3685765, 27.284323, -0.78529817, -3.2752678, 20.235792, -2.4133554, 16.290148, 11.233594]","[0.2873042, 2.2888567, 9.739613, 3.6104562, -1.8100165, 10.965444, -6.8761473, 17.822437, 4.8362875]",,,,,,
Gesture R,"[1.1492168, 3.763685, 16.002844, 14.882358, 14.039598, 12.449849, 10.697293, 8.714894, 8.494628, 9.222465, 8.762778, 7.642292, 5.6407394, 4.3861775, 5.583278, 7.575254, 9.050082, 9.174581, 9.050082, 8.054094, 7.422025, 6.1387334, 3.4380736, 0.36391866, -1.7908629, -2.930503, -4.357447, -6.301539, -9.078813, -11.664551, -13.321339, -13.01488, -11.9135475, -11.415554, -7.489063, -0.80445176, 6.8761473, 11.865664, 16.76899, 20.973207, 21.768082, 20.350714, 17.621325, 15.773001, 14.566323, 12.287044, 10.7356, 9.576807, 8.418014, 6.090849, 4.510676, 5.401319, 5.746084, 7.2113357, 8.1402855, 10.180145, 12.564771, 13.072341, 11.425131, 8.571242, 8.772355, 9.931149, 10.668563, 10.084377, 8.226477, 6.799533, 5.267244]","[5.6120086, 2.078167, 31.814152, 27.542896, 23.338678, 19.747375, 16.347609, 13.139379, 11.137826, 9.289502, 6.933608, 3.514688, 1.1013328, -1.13964, -2.566584, -3.6487634, -3.6870706, -3.5817258, -3.5338416, -3.4859576, -3.6391866, -3.8498764, -4.6255975, -4.9895163, -4.7788267, -3.821146, -2.528277, -0.8619126, 1.091756, 3.7732618, 6.9527617, 9.021352, 11.21444, 13.273455, 15.380352, 17.171215, 18.148048, 17.793707, 17.113754, 15.98369, 14.144943, 11.109096, 7.565677, 4.31914, 1.532289, -1.283292, -3.2752678, -4.6255975, -5.056554, -5.1523223, -4.711789, -3.3901896, -1.4460979, 1.8770541, 6.205771, 10.103531, 14.834474, 18.569427, 20.839132, 20.561403, 19.603724, 18.282124, 16.903065, 14.78659, 12.555194, 11.233594, 10.658986]","[-1.6663644, 0.39264908, 17.439365, 13.608643, 8.791509, 5.899313, 6.9527617, 8.590396, 9.155427, 7.8625584, 7.8529816, 8.513782, 7.5465236, 6.5218053, 3.1890767, -3.5242648, -9.720459, -11.501745, -10.314221, -9.030929, -7.345411, -6.033388, -3.8115692, -1.9153614, -0.8331822, -1.7525556, -1.6280571, 2.3558946, 5.841852, 7.9008656, 10.0269165, 13.570335, 17.78413, 17.975666, 15.064317, 13.9438305, 11.894394, 8.159439, 4.0892963, -1.8100165, -6.2345014, -6.703765, -6.933608, -6.7708025, -8.1402855, -8.504205, -7.8912888, -7.9104424, -6.090849, -3.4284968, -1.8291701, -0.79487497, 0.1436521, 3.8115692, 6.445191, 11.128249, 15.064317, 15.725117, 14.700398, 11.980585, 10.304645, 6.445191, 4.3766007, 4.0222588, 3.9552212, 3.667917, 4.865018]",,,,,,
